,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Abbotsbury,-33.8692846,150.8667029,Abbotsbury Shops,-33.86955441610464,150.8652944091134,Convenience Store
1,Abbotsbury,-33.8692846,150.8667029,Stockdale Reserve,-33.871098,150.86806,Park
2,Abbotsbury,-33.8692846,150.8667029,817 bus stop,-33.869773,150.870122,Bus Station
3,Abbotsford,-33.8505529,151.129759,The Cove Dining Co,-33.85093349750487,151.12901507835977,Café
4,Abbotsford,-33.8505529,151.129759,The Cove Dining Co,-33.85095,151.12911,Café
5,Abbotsford,-33.8505529,151.129759,"Greenwest Pools, Spas & Landscapes",-33.8506,151.12760520000006,Construction & Landscaping
6,Abbotsford,-33.8505529,151.129759,Sistina Ristorante & Pizzeria,-33.848149427380505,151.12830734541558,Pizza Place
7,Abbotsford,-33.8505529,151.129759,Lock Stock And Bottle,-33.84786,151.12797,Wine Shop
8,Abbotsford,-33.8505529,151.129759,Cinnamon Thai Cuisine,-33.84769675,151.128288,Thai Restaurant
9,Abbotsford,-33.8505529,151.129759,Henry Lawson Park,-33.85034998485688,151.12589532464892,Park
10,Alexandria,-33.9091568,151.1921281,The Grounds of Alexandria,-33.91077412580883,151.194405534518,Café
11,Alexandria,-33.9091568,151.1921281,The Potting Shed at The Grounds,-33.91109417652144,151.1943062077886,Bar
12,Alexandria,-33.9091568,151.1921281,Pino’s Vino e Cucina,-33.90548,151.19095,Italian Restaurant
13,Alexandria,-33.9091568,151.1921281,The Grounds Markets,-33.911844,151.194729,Flea Market
14,Alexandria,-33.9091568,151.1921281,Alexandria Basketball Stadium,-33.90835836037352,151.19557794378534,Basketball Court
15,Alexandria,-33.9091568,151.1921281,The Grounds Coffee Roastery,-33.91073344478825,151.19429426643546,Australian Restaurant
16,Alexandria,-33.9091568,151.1921281,The Copper Mill,-33.906068343692205,151.1884257087766,Café
17,Alexandria,-33.9091568,151.1921281,Al Aseel,-33.912632242714984,151.19346229758514,Lebanese Restaurant
18,Alexandria,-33.9091568,151.1921281,Blackbird & Co,-33.90661153221235,151.18786139313968,Café
19,Alexandria,-33.9091568,151.1921281,COOH Cafe & Roaster,-33.91047594760952,151.19565963542615,Café
20,Alexandria,-33.9091568,151.1921281,Crave,-33.906773216074434,151.19247273005746,Café
21,Alfords Point,-33.9839091,151.0241615,Staceys Alfords Point Corner Shop,-33.985440465341284,151.02507325537684,Fried Chicken Joint
22,Alfords Point,-33.9839091,151.0241615,McDonald's,-33.98238529092818,151.028643474928,Fast Food Restaurant
23,Allambie Heights,-33.770506700000006,151.249675,Allambie Heights Tennis Club,-33.766808,151.24745,Tennis Court
24,Allambie Heights,-33.770506700000006,151.249675,Mr Grigors,-33.766243,151.25055,Café
25,Allawah,-33.969629299999994,151.11428469999998,Allawah Hotel,-33.97000054549864,151.1141392420896,Pub
26,Allawah,-33.969629299999994,151.11428469999998,Allawah Station,-33.96960535296293,151.11446148667068,Train Station
27,Allawah,-33.969629299999994,151.11428469999998,Carlton Newsagency,-33.968517407406345,151.1188016959241,Paper / Office Supplies Store
28,Ambarvale,-34.084425200000005,150.8017477,Aldi,-34.08511212225691,150.80143560462832,Supermarket
29,Ambarvale,-34.084425200000005,150.8017477,Ozzie Smoke,-34.0846363348724,150.8021056652069,Business Service
30,Ambarvale,-34.084425200000005,150.8017477,Bus Stop 2560492 (Thomas Reddal HS),-34.08236,150.803127,Bus Stop
31,Ambarvale,-34.084425200000005,150.8017477,Freechoice Tobacconist,-34.08639744707095,150.79826239290492,Smoke Shop
32,Ambarvale,-34.084425200000005,150.8017477,Ambarvale Recreation Centre,-34.0865560095581,150.798095112885,Gym / Fitness Center
33,Ambarvale,-34.084425200000005,150.8017477,Stripe Linemarking,-34.08783513946532,150.80440163612366,Business Service
34,Annandale,-33.881223999999996,151.1709976,Fat Fish,-33.88136977345241,151.17077466124925,Fish & Chips Shop
35,Annandale,-33.881223999999996,151.1709976,Bar Sirocco Cafe,-33.88172568264278,151.17154995988068,Café
36,Annandale,-33.881223999999996,151.1709976,Clover Cafe,-33.88129,151.16986,Café
37,Annandale,-33.881223999999996,151.1709976,Cornersmith,-33.879027,151.172506,Café
38,Annandale,-33.881223999999996,151.1709976,Vinery Foods,-33.88089,151.17125,Australian Restaurant
39,Annandale,-33.881223999999996,151.1709976,Chook & Cooker,-33.88237133813073,151.17345526814054,Snack Place
40,Annandale,-33.881223999999996,151.1709976,Supabarn,-33.882961246295636,151.1747920965858,Grocery Store
41,Annandale,-33.881223999999996,151.1709976,Bar Asia,-33.88181550589561,151.17162959384908,Asian Restaurant
42,Annandale,-33.881223999999996,151.1709976,Whites Creek Valley Park,-33.87729674967726,151.1685890210754,Park
43,Annandale,-33.881223999999996,151.1709976,Annandale Cellars,-33.88099659897204,151.17093989442174,Liquor Store
44,Annandale,-33.881223999999996,151.1709976,IGA Annandale,-33.882259003319106,151.17325481630687,Grocery Store
45,Annandale,-33.881223999999996,151.1709976,Crust Gourmet Pizza Bar,-33.881437,151.171106,Pizza Place
46,Annandale,-33.881223999999996,151.1709976,Annandale Garden Centre,-33.88213826365588,151.17252101988348,Garden Center
47,Annandale,-33.881223999999996,151.1709976,Le Comptoir Coffee House,-33.88127656716137,151.17079034304615,Café
48,Annandale,-33.881223999999996,151.1709976,Made In Italy,-33.88115,151.17112,Italian Restaurant
49,Annandale,-33.881223999999996,151.1709976,North Annandale Hotel,-33.88149466516491,151.1707756986851,Bar
50,Annandale,-33.881223999999996,151.1709976,Chargrill Charlie's,-33.881018,151.171205,Fried Chicken Joint
51,Annandale,-33.881223999999996,151.1709976,Black Toast,-33.882280076847806,151.17331049930004,Café
52,Annandale,-33.881223999999996,151.1709976,2 Birds Espresso & Juice Bar,-33.88254,151.17327,Café
53,Annandale,-33.881223999999996,151.1709976,Jim & Jane,-33.88206,151.17328,Gift Shop
